,REGIONAL,DEPARTAMENTO,CIUDAD,NOMBRE_OFICINA
9148,OTRA,NARINO,OTRA,CALL_BOLIVAR
9149,OTRA,QUINDIO,OTRA,CALL_BOLIVAR
9150,OTRA,RISARALDA,OTRA,CALL_BOLIVAR
9151,OTRA,SANTANDER,OTRA,CALL_BOLIVAR
9152,OTRA,SUCRE,OTRA,CALL_BOLIVAR
9153,OTRA,TOLIMA,OTRA,CALL_BOLIVAR
9154,OTRA,VALLE,OTRA,CALL_BOLIVAR
9155,OTRA,OTRA,OTRA,CALL_A3
9156,OTRA,OTRA,OTRA,CALL_LOGYTECH
9157,OTRA,OTRA,OTRA,CALL_SISTEMCOBRO
9160,OTRA,OTRA,OTRA,CALL_EMERGIA
9161,OTRA,OTRA,OTRA,CALL_CALLCENTER
9163,OTRA,OTRA,OTRA,CALL_THOMAS
9299,CARIBE,ATLANTICO,BARRANQUILLA,MONOMEROS
18846,OTRA,OTRA,OTRA,CALL_ATENTO
